,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
212,-86.6442,0.85441995,0.86397445,0.6758258,0.69255257
213,-86.587875,0.8622138,0.8718601,0.6510418,0.6826784
214,-86.71465,0.8590175,0.8674145,0.6187941,0.6458477
215,-86.44307,0.86279833,0.8724495,0.722438,0.745674
216,-86.63972,0.8546511,0.86592966,0.68291354,0.70612776
217,-86.545616,0.8627522,0.8720392,0.63227457,0.6579171
218,-86.59524,0.85572547,0.8656231,0.6013177,0.628546
219,-86.45245,0.8568256,0.8643425,0.6638429,0.6962209
220,-86.62564,0.8551613,0.866268,0.6709633,0.7021134
221,-86.62291,0.86077005,0.86938506,0.6764053,0.6994089
222,-86.671234,0.85571426,0.86467063,0.6512465,0.67097914
223,-86.62909,0.85516065,0.86424416,0.7136905,0.73667634
224,-86.58698,0.85604537,0.8663945,0.6980906,0.71593875
225,-86.70407,0.8593398,0.8695277,0.67620134,0.70599097
226,-86.4582,0.85327595,0.8612659,0.63442165,0.6817316
227,-86.540825,0.85402215,0.8650347,0.70884854,0.7291363
228,-86.45679,0.8550659,0.8652689,0.57121044,0.604188
229,-86.56629,0.8604574,0.8714391,0.6894755,0.71724975
230,-86.637115,0.85728896,0.8675463,0.6077916,0.6337812
231,-86.64799,0.85321456,0.86312175,0.7222185,0.73636794
232,-86.42105,0.85748917,0.866433,0.6807865,0.7117135
233,-86.58268,0.8596411,0.8697508,0.6535215,0.68327785
234,-86.65373,0.854995,0.86356866,0.6650645,0.6959174
235,-86.284996,0.85881215,0.8694984,0.66641605,0.6905645
236,-86.55892,0.85893995,0.8698957,0.635096,0.6659299
237,-86.42155,0.85924697,0.86781967,0.6535861,0.69198954
238,-86.61109,0.8578142,0.8700598,0.6402541,0.66964304
239,-86.54437,0.85634655,0.86465883,0.6568222,0.67725265
240,-86.58979,0.8579657,0.8679872,0.6392069,0.66919667
241,-86.56474,0.8602526,0.87009937,0.6322266,0.64565486
242,-86.53377,0.8578933,0.8685488,0.6893151,0.698406
243,-86.5254,0.856255,0.8662559,0.624726,0.6647867
244,-86.60718,0.8543962,0.8643445,0.6830425,0.71042305
245,-86.55235,0.858707,0.8675071,0.6708323,0.6948877
246,-86.724785,0.8583247,0.8661456,0.64864564,0.67685986
247,-86.507225,0.85925496,0.87128687,0.6752492,0.7049381
248,-86.666245,0.86302084,0.8727963,0.69934285,0.7208383
249,-86.642456,0.8528467,0.86189216,0.63024837,0.6626792
250,-86.6838,0.8579724,0.8683466,0.6995599,0.72808117
251,-86.86778,0.8629055,0.87333274,0.6771273,0.6996688
252,-86.51209,0.8549786,0.8637898,0.67891794,0.7080688
253,-86.71567,0.86059374,0.8714049,0.71392995,0.7437467
254,-86.517494,0.8581836,0.86638266,0.6900792,0.7207424
255,-86.55784,0.85932994,0.86872,0.69424665,0.7252108
256,-86.637535,0.86017233,0.86987907,0.7173641,0.74045587
257,-86.716156,0.85608834,0.86674505,0.68201804,0.71941495
258,-86.59243,0.85226244,0.86133426,0.6908462,0.70198476
259,-86.406624,0.85722804,0.86747384,0.6704927,0.697889
260,-86.62381,0.85775834,0.8691745,0.6992081,0.7248518
261,-86.48342,0.85890853,0.8695697,0.67635065,0.7076124
262,-86.6102,0.85605335,0.86664766,0.64048576,0.6791639
263,-86.61368,0.85501635,0.8662364,0.64614135,0.666254
264,-86.65603,0.857407,0.86530864,0.6785163,0.7018067
265,-86.57823,0.85401064,0.8635519,0.70258737,0.7233594
266,-86.59815,0.85860544,0.8681312,0.66884106,0.70068073
267,-86.619194,0.85873,0.8679169,0.6881451,0.7224057
268,-86.46938,0.8560402,0.8662034,0.66052943,0.69914776
